symbol,entry_time,entry_price,exit_time,exit_price,initial_stop,stop_updates_count,pnl,pnl_pct,exit_reason,entry_conditions
DCE.pg2605,2026-01-21 09:05:00.000000,4253.0,2026-01-21 14:25:00.000000,4260.0,4234.00,4,280.00,0.16%,初始止损 (5分钟前前绿柱堆 K 线低点:4234.00),60m 底背离确认 (低:4226.00→4229.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pg2605,2026-01-28 11:20:00.000000,4485.0,2026-01-28 21:45:00.000000,4477.0,4413.00,4,-320.00,-0.18%,移动止损 (前前绿柱堆 K 线低点:4477.00),60m 底背离确认 (低:4229.00→4411.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pg2605,2026-01-29 10:10:00.000000,4486.0,2026-01-30 09:05:00.000000,4550.0,4462.00,3,2560.00,1.43%,初始止损 (5分钟前前绿柱堆 K 线低点:4462.00),60m 底背离确认 (低:4229.00→4411.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pg2605,2026-02-06 09:00:00.000000,4386.0,2026-02-09 14:05:00.000000,4432.0,4358.00,5,1840.00,1.05%,移动止损 (前前绿柱堆 K 线低点:4432.00),60m 底背离确认 (低:4319.00→4358.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pg2605,2026-02-09 21:10:00.000000,4439.0,2026-02-09 21:15:00.000000,4432.0,4432.00,1,-280.00,-0.16%,初始止损 (5分钟前前绿柱堆 K 线低点:4432.00),红柱堆底部抬升 (绿柱低:4358.00→红柱拐头低:4422.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
DCE.pg2605,2026-02-12 11:20:00.000000,4493.0,2026-02-12 14:15:00.000000,4457.0,4457.00,1,-1440.00,-0.80%,初始止损 (5分钟前前绿柱堆 K 线低点:4457.00),红柱堆底部抬升 (绿柱低:4358.00→红柱拐头低:4457.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
DCE.pg2605,2026-03-04 14:15:00.000000,5222.0,2026-03-04 21:00:00.000000,4976.0,4976.00,1,-4920.00,-4.71%,初始止损 (5分钟前前绿柱堆 K 线低点:4976.00),红柱堆底部抬升 (绿柱低:4420.00→红柱拐头低:4962.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
DCE.pg2605,2026-03-05 14:15:00.000000,5212.0,2026-03-05 22:10:00,5127.0,4954.00,3,-1700.00,-1.63%,移动止损 (前前绿柱堆 K 线低点:5127.00),60m 底背离确认 (低:4420.00→4977.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pg2605,2026-03-06 14:20:00,5180.0,2026-03-10 09:05:00,5495.0,5127.00,4,6300.00,6.08%,初始止损 (5分钟前前绿柱堆 K 线低点:5127.00),60m 底背离确认 (低:4420.00→4977.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pg2605,2026-03-16 10:00:00,5757.0,2026-03-16 22:25:00,5730.0,5519.00,4,-540.00,-0.47%,移动止损 (前前绿柱堆 K 线低点:5730.00),红柱堆底部抬升 (绿柱低:4956.00→红柱拐头低:5483.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
DCE.pg2605,2026-03-17 10:05:00,5770.0,2026-03-17 10:40:00,5730.0,5730.00,1,-800.00,-0.69%,初始止损 (5分钟前前绿柱堆 K 线低点:5730.00),60m 底背离确认 (低:4956.00→5500.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pg2605,2026-03-27 11:20:00,6627.0,2026-03-30 11:15:00,6533.0,0.00,0,-1880.00,-1.42%,回测结束,60m 底背离确认 (低:5500.00→6242.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605,2025-12-02 21:00:00.000000,6496.0,2025-12-02 21:10:00.000000,6489.0,6489.00,1,-210.00,-0.11%,初始止损 (5分钟前前绿柱堆 K 线低点:6489.00),红柱堆底部抬升 (绿柱低:6361.00→红柱拐头低:6485.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
DCE.pp2605,2025-12-16 10:10:00.000000,6246.0,2025-12-16 13:30:00.000000,6245.0,6245.00,1,-30.00,-0.02%,初始止损 (5分钟前前绿柱堆 K 线低点:6245.00),红柱堆底部抬升 (绿柱低:6155.00→红柱拐头低:6232.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
DCE.pp2605,2025-12-30 10:00:00.000000,6316.0,2026-01-05 13:35:00.000000,6333.0,6267.00,7,510.00,0.27%,初始止损 (5分钟前前绿柱堆 K 线低点:6267.00),红柱堆底部抬升 (绿柱低:6200.00→红柱拐头低:6271.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
DCE.pp2605,2026-01-05 22:10:00.000000,6381.0,2026-01-07 22:40:00.000000,6482.0,6333.00,5,3030.00,1.58%,初始止损 (5分钟前前绿柱堆 K 线低点:6333.00),60m 底背离确认 (低:6200.00→6309.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605,2026-01-09 10:00:00.000000,6513.0,2026-01-09 21:00:00.000000,6486.0,6464.00,3,-810.00,-0.41%,初始止损 (5分钟前前绿柱堆 K 线低点:6464.00),60m 底背离确认 (低:6309.00→6436.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605,2026-01-12 11:20:00.000000,6524.0,2026-01-15 11:25:00.000000,6552.0,6497.00,4,840.00,0.43%,初始止损 (5分钟前前绿柱堆 K 线低点:6497.00),60m 底背离确认 (低:6309.00→6436.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605,2026-01-27 22:25:00.000000,6737.0,2026-01-30 09:00:00.000000,6863.0,6667.00,8,3150.00,1.87%,初始止损 (5分钟前前绿柱堆 K 线低点:6667.00),60m 底背离确认 (低:6429.00→6654.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605,2026-02-03 22:05:00.000000,6746.0,2026-02-04 14:05:00.000000,6779.0,6725.00,3,825.00,0.49%,初始止损 (5分钟前前绿柱堆 K 线低点:6725.00),60m 底背离确认 (低:6654.00→6669.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605,2026-02-10 09:10:00.000000,6651.0,2026-02-11 14:20:00.000000,6697.0,6640.00,4,1380.00,0.69%,初始止损 (5分钟前前绿柱堆 K 线低点:6640.00),60m 底背离确认 (低:6608.00→6627.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605,2026-02-12 13:55:00.000000,6685.0,2026-02-12 14:15:00.000000,6668.0,6668.00,1,-425.00,-0.25%,初始止损 (5分钟前前绿柱堆 K 线低点:6668.00),红柱堆底部抬升 (绿柱低:6627.00→红柱拐头低:6669.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
DCE.pp2605,2026-02-25 22:00:00.000000,6756.0,2026-02-26 10:30:00.000000,6710.0,6709.00,2,-1150.00,-0.68%,初始止损 (5分钟前前绿柱堆 K 线低点:6709.00),红柱堆底部抬升 (绿柱低:6552.00→红柱拐头低:6709.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
DCE.pp2605,2026-02-27 22:15:00.000000,6665.0,2026-03-05 22:10:00,7529.0,6554.00,10,25920.00,12.96%,移动止损 (前前绿柱堆 K 线低点:7529.00),60m 底背离确认 (低:6552.00→6555.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605,2026-03-06 11:20:00,7635.0,2026-03-10 09:05:00,8002.0,7529.00,3,9175.00,4.81%,初始止损 (5分钟前前绿柱堆 K 线低点:7529.00),60m 底背离确认 (低:6555.00→7427.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605,2026-03-11 11:15:00,8138.0,2026-03-13 21:05:00,8456.0,7800.00,4,6360.00,3.91%,初始止损 (5分钟前前绿柱堆 K 线低点:7800.00),60m 底背离确认 (低:7427.00→7527.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605,2026-03-13 23:00:00,8757.0,2026-03-16 22:10:00,8484.0,8484.00,1,-5460.00,-3.12%,初始止损 (5分钟前前绿柱堆 K 线低点:8484.00),红柱堆底部抬升 (绿柱低:7527.00→红柱拐头低:8448.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
DCE.pp2605,2026-03-17 22:15:00,8820.0,2026-03-18 11:05:00,8671.0,8664.00,2,-2980.00,-1.69%,初始止损 (5分钟前前绿柱堆 K 线低点:8664.00),60m 底背离确认 (低:7527.00→8462.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605,2026-03-18 22:10:00,9024.0,2026-03-20 09:05:00,9033.0,8584.00,2,180.00,0.10%,初始止损 (5分钟前前绿柱堆 K 线低点:8584.00),60m 底背离确认 (低:7527.00→8462.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
