symbol,entry_time,entry_price,exit_time,exit_price,initial_stop,stop_updates_count,pnl,pnl_pct,exit_reason,entry_conditions
CZCE.OI605,2026-02-09 09:00:00.000000,9168.0,2026-02-09 10:50:00.000000,9134.0,9128.00,2,-680.00,-0.37%,初始止损 (前前绿柱堆 K 线低点:9128.00),红柱堆底部抬升 (绿柱低:9100.00→红柱拐头低:9131.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
CZCE.OI605,2026-02-26 22:05:00.000000,9229.0,2026-02-27 11:25:00.000000,9170.0,9170.00,1,-1180.00,-0.64%,初始止损 (前一个绿柱堆低点:9170.00 (低于前前:9180.00)),60m 底背离确认 (低:9003.00→9166.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.OI605,2026-03-02 09:00:00.000000,9314.0,2026-03-04 21:05:00.000000,9430.0,9196.00,6,2320.00,1.25%,初始止损 (前前绿柱堆 K 线低点:9196.00),60m 底背离确认 (低:9003.00→9166.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.OI605,2026-03-06 09:05:00.000000,9552.0,2026-03-10 09:00:00.000000,9791.0,9469.00,4,4780.00,2.50%,初始止损 (前一个绿柱堆低点:9469.00 (低于前前:9484.00)),60m 底背离确认 (低:9166.00→9405.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.OI605,2026-03-12 10:00:00.000000,9866.0,2026-03-13 14:10:00.000000,9834.0,9737.00,4,-640.00,-0.32%,初始止损 (前一个绿柱堆低点:9737.00 (低于前前:9772.00)),60m 底背离确认 (低:9405.00→9642.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.OI605,2026-03-19 22:00:00,9866.0,2026-03-23 21:05:00,9835.0,9790.00,3,-620.00,-0.31%,初始止损 (前一个绿柱堆低点:9790.00 (低于前前:9845.00)),红柱堆底部抬升 (绿柱低:9719.00→红柱拐头低:9790.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
CZCE.PF606,2025-12-24 21:00:00.000000,6534.0,2025-12-26 21:05:00.000000,6586.0,6458.00,4,1560.00,0.80%,初始止损 (前一个绿柱堆低点:6458.00 (低于前前:6464.00)),红柱堆底部抬升 (绿柱低:6108.00→红柱拐头低:6458.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
CZCE.PF606,2026-01-07 14:15:00.000000,6570.0,2026-01-08 21:00:00.000000,6496.0,6492.00,2,-2220.00,-1.13%,初始止损 (前一个绿柱堆低点:6492.00 (低于前前:6596.00)),红柱堆底部抬升 (绿柱低:6436.00→红柱拐头低:6492.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
CZCE.PF606,2026-01-13 10:00:00.000000,6562.0,2026-01-14 09:40:00.000000,6532.0,6502.00,2,-900.00,-0.46%,初始止损 (前一个绿柱堆低点:6502.00 (低于前前:6566.00)),60m 底背离确认 (低:6484.00→6502.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.PF606,2026-01-28 11:15:00.000000,6776.0,2026-01-30 09:05:00.000000,6768.0,6656.00,5,-200.00,-0.12%,初始止损 (前前绿柱堆 K 线低点:6656.00),60m 底背离确认 (低:6394.00→6656.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.PF606,2026-02-27 21:00:00.000000,6700.0,2026-03-04 09:20:00.000000,7012.0,6634.00,7,7800.00,4.66%,初始止损 (前前绿柱堆 K 线低点:6634.00),60m 底背离确认 (低:6562.00→6602.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.PF606,2026-03-04 21:00:00.000000,7058.0,2026-03-13 09:15:00.000000,8188.0,7008.00,8,28250.00,16.01%,初始止损 (前一个绿柱堆低点:7008.00 (低于前前:7012.00)),红柱堆底部抬升 (绿柱低:6602.00→红柱拐头低:7010.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
CZCE.PF606,2026-03-16 09:05:00.000000,8418.0,2026-03-16 21:00:00.000000,8244.0,8138.00,2,-3480.00,-2.07%,初始止损 (前一个绿柱堆低点:8138.00 (低于前前:8164.00)),60m 底背离确认 (低:7426.00→7990.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.PF606,2026-03-18 10:00:00.000000,8426.0,2026-03-18 10:35:00.000000,8292.0,8292.00,1,-2680.00,-1.59%,初始止损 (前前绿柱堆 K 线低点:8292.00),60m 底背离确认 (低:7426.00→7990.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.PF606,2026-03-18 22:10:00,8428.0,2026-03-19 21:05:00,8272.0,8074.00,2,-3120.00,-1.85%,初始止损 (前一个绿柱堆低点:8074.00 (低于前前:8340.00)),60m 底背离确认 (低:7426.00→7990.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.PF606,2026-03-20 21:10:00,8290.0,2026-03-23 21:05:00,8542.0,7990.00,3,5040.00,3.04%,初始止损 (前一个绿柱堆低点:7990.00 (低于前前:8188.00)),60m 底背离确认 (低:7426.00→7990.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.PF606,2026-03-30 22:05:00,8464.0,2026-03-31 09:15:00,8320.0,8320.00,1,-2880.00,-1.70%,初始止损 (前一个绿柱堆低点:8320.00 (低于前前:8454.00)),红柱堆底部抬升 (绿柱低:7802.00→红柱拐头低:8254.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
CZCE.PF606,2026-04-01 09:10:00,8216.0,2026-04-01 10:10:00,8174.0,8174.00,1,-840.00,-0.51%,初始止损 (前前绿柱堆 K 线低点:8174.00),60m 底背离确认 (低:7802.00→7894.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.PF606,2026-04-02 10:00:00,8244.0,2026-04-08 09:05:00,8426.0,7898.00,4,3640.00,2.21%,初始止损 (前一个绿柱堆低点:7898.00 (低于前前:8096.00)),60m 底背离确认 (低:7802.00→7894.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.PL605,2025-11-28 10:40:00.000000,5920.0,2025-12-01 14:50:00.000000,5978.0,5868.00,3,1160.00,0.98%,初始止损 (前一个绿柱堆低点:5868.00 (低于前前:5880.00)),60m 底背离确认 (低:5850.00→5868.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.PL605,2025-12-26 14:20:00.000000,5848.0,2026-01-05 09:00:00.000000,5887.0,5773.00,6,780.00,0.67%,初始止损 (前一个绿柱堆低点:5773.00 (低于前前:5800.00)),红柱堆底部抬升 (绿柱低:5634.00→红柱拐头低:5773.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
CZCE.PL605,2026-01-05 22:00:00.000000,5932.0,2026-01-07 22:40:00.000000,6005.0,5863.00,5,1460.00,1.23%,初始止损 (前一个绿柱堆低点:5863.00 (低于前前:5886.00)),60m 底背离确认 (低:5634.00→5863.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.PL605,2026-01-09 10:00:00.000000,6043.0,2026-01-09 21:00:00.000000,6000.0,5991.00,2,-860.00,-0.71%,初始止损 (前前绿柱堆 K 线低点:5991.00),60m 底背离确认 (低:5920.00→5969.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
